#tax_id,GeneID,Symbol
9606,638,BIK
9606,639,PRDM1
9606,640,BLK
9606,641,BLM
9606,642,BLMH
9606,643,CXCR5
9606,644,BLVRA
9606,645,BLVRB
9606,646,BNC1
9606,648,BMI1
9606,649,BMP1
9606,650,BMP2
9606,651,BMP3
9606,652,BMP4
9606,653,BMP5
9606,654,BMP6
9606,655,BMP7
9606,656,BMP8B
9606,657,BMPR1A
9606,658,BMPR1B
9606,659,BMPR2
9606,660,BMX
9606,661,POLR3D
9606,662,BNIP1
9606,663,BNIP2
9606,664,BNIP3
9606,665,BNIP3L
9606,666,BOK
9606,667,DST
9606,668,FOXL2
9606,669,BPGM
9606,670,BPHL
9606,671,BPI
9606,672,BRCA1
9606,673,BRAF
9606,675,BRCA2
9606,676,BRDT
9606,677,ZFP36L1
9606,678,ZFP36L2
9606,680,BRS3
9606,682,BSG
9606,683,BST1
9606,684,BST2
9606,685,BTC
9606,686,BTD
9606,687,KLF9
9606,688,KLF5
9606,689,BTF3
9606,690,BTF3P11
9606,693,BTF3P1
9606,694,BTG1
9606,695,BTK
9606,696,BTN1A1
9606,699,BUB1
9606,700,BVR1
9606,701,BUB1B
9606,705,BYSL
9606,706,TSPO
9606,708,C1QBP
9606,710,SERPING1
9606,711,ERC2-IT1
9606,712,C1QA
9606,713,C1QB
9606,714,C1QC
9606,715,C1R
9606,716,C1S
9606,717,C2
9606,718,C3
9606,719,C3AR1
9606,720,C4A
9606,721,C4B
9606,722,C4BPA
9606,724,C4BPAP2
9606,725,C4BPB
9606,726,CAPN5
9606,727,C5
9606,728,C5AR1
9606,729,C6
9606,730,C7
9606,731,C8A
9606,732,C8B
9606,733,C8G
9606,734,OSGIN2
9606,735,C9
9606,738,VPS51
9606,740,MRPL49
9606,741,ZNHIT2
9606,744,MPPED2
9606,745,MYRF
9606,746,TMEM258
9606,747,DAGLA
9606,750,GAS8-AS1
9606,752,FMNL1
9606,753,LDLRAD4
9606,754,PTTG1IP
9606,755,CFAP410
9606,757,TMEM50B
9606,758,MPPED1
9606,759,CA1
9606,760,CA2
9606,761,CA3
9606,762,CA4
9606,763,CA5A
9606,764,CA5AP1
9606,765,CA6
9606,766,CA7
9606,767,CA8
9606,768,CA9
9606,770,CA11
9606,771,CA12
9606,772,CACD
9606,773,CACNA1A
9606,774,CACNA1B
9606,775,CACNA1C
9606,776,CACNA1D
9606,777,CACNA1E
9606,778,CACNA1F
9606,779,CACNA1S
9606,780,DDR1
9606,781,CACNA2D1
9606,782,CACNB1
9606,783,CACNB2
9606,784,CACNB3
9606,785,CACNB4
9606,786,CACNG1
9606,788,SLC25A20
9606,789,SLC25A20P1
9606,790,CAD
9606,793,CALB1
9606,794,CALB2
9606,795,S100G
9606,796,CALCA
9606,797,CALCB
9606,798,CALCP
9606,799,CALCR
9606,800,CALD1
9606,801,CALM1
9606,802,CALM1P1
9606,804,CALM1P2
9606,805,CALM2
9606,806,CALM2P2
9606,807,CALM2P3
9606,808,CALM3
9606,810,CALML3
9606,811,CALR
9606,813,CALU
9606,814,CAMK4
9606,815,CAMK2A
9606,816,CAMK2B
9606,817,CAMK2D
9606,818,CAMK2G
9606,819,CAMLG
9606,820,CAMP
9606,821,CANX
9606,822,CAPG
9606,823,CAPN1
9606,824,CAPN2
9606,825,CAPN3
9606,826,CAPNS1
9606,827,CAPN6
9606,828,CAPS
9606,829,CAPZA1
9606,830,CAPZA2
9606,831,CAST
9606,832,CAPZB
9606,833,CARS1
9606,834,CASP1
9606,835,CASP2
9606,836,CASP3
9606,837,CASP4
9606,838,CASP5
9606,839,CASP6
9606,840,CASP7
9606,841,CASP8
9606,842,CASP9
9606,843,CASP10
9606,844,CASQ1
9606,845,CASQ2
9606,846,CASR
9606,847,CAT
9606,856,CATR1
9606,857,CAV1
9606,858,CAV2
9606,859,CAV3
9606,860,RUNX2
9606,861,RUNX1
9606,862,RUNX1T1
9606,863,CBFA2T3
9606,864,RUNX3
9606,865,CBFB
9606,866,SERPINA6
9606,867,CBL
9606,868,CBLB
9606,869,CBLN1
9606,871,SERPINH1
9606,873,CBR1
9606,874,CBR3
9606,875,CBS
9606,878,CCA1
9606,881,CCIN
9606,882,CCAL1
9606,883,KYAT1
9606,885,CCK
9606,886,CCKAR
9606,887,CCKBR
9606,889,KRIT1
9606,890,CCNA2
9606,891,CCNB1
9606,892,CCNC
9606,894,CCND2
9606,895,CCND2P1
9606,896,CCND3
9606,897,CCND3P1
9606,898,CCNE1
9606,899,CCNF
9606,900,CCNG1
9606,901,CCNG2
9606,902,CCNH
9606,904,CCNT1
9606,905,CCNT2
9606,907,CCT
9606,908,CCT6A
9606,909,CD1A
9606,910,CD1B
9606,911,CD1C
9606,912,CD1D
9606,913,CD1E
9606,914,CD2
9606,915,CD3D
9606,916,CD3E
9606,917,CD3G
9606,919,CD247
9606,920,CD4
9606,921,CD5
9606,922,CD5L
9606,923,CD6
9606,924,CD7
9606,925,CD8A
9606,926,CD8B
9606,927,CD8B2
9606,928,CD9
9606,929,CD14
9606,930,CD19
9606,931,MS4A1
9606,932,MS4A3
9606,933,CD22
9606,935,CD24P1
9606,936,CD24P2
9606,937,CD24P3
9606,938,CD24P4
9606,939,CD27
9606,940,CD28
9606,941,CD80
9606,942,CD86
9606,943,TNFRSF8
9606,944,TNFSF8
9606,945,CD33
9606,946,SIGLEC6
9606,947,CD34
9606,948,CD36
9606,949,SCARB1
9606,950,SCARB2
9606,951,CD37
9606,952,CD38
9606,953,ENTPD1
9606,954,ENTPD2
9606,955,ENTPD6
9606,956,ENTPD3
9606,957,ENTPD5
9606,958,CD40
9606,959,CD40LG
9606,960,CD44
9606,961,CD47
9606,962,CD48
9606,963,CD53
9606,965,CD58
9606,966,CD59
9606,967,CD63
9606,968,CD68
9606,969,CD69
9606,970,CD70
9606,971,CD72
9606,972,CD74
9606,973,CD79A
9606,974,CD79B
9606,975,CD81
9606,976,ADGRE5
9606,977,CD151
9606,978,CDA
9606,981,CDAN3
9606,982,CDB2
9606,983,CDK1
9606,984,CDK11B
9606,987,LRBA
9606,988,CDC5L
9606,989,SEPTIN7
9606,990,CDC6
9606,991,CDC20
9606,993,CDC25A
9606,994,CDC25B
9606,995,CDC25C
9606,996,CDC27
9606,997,CDC34
9606,998,CDC42
9606,999,CDH1
9606,1000,CDH2
9606,1001,CDH3
9606,1002,CDH4
9606,1003,CDH5
9606,1004,CDH6
9606,1005,CDH7
9606,1006,CDH8
9606,1007,CDH9
9606,1008,CDH10
9606,1009,CDH11
9606,1010,CDH12
9606,1011,CDH12P2
9606,1012,CDH13
9606,1013,CDH15
9606,1014,CDH16
9606,1015,CDH17
9606,1016,CDH18
9606,1017,CDK2
9606,1018,CDK3
9606,1019,CDK4
9606,1020,CDK5
9606,1021,CDK6
9606,1022,CDK7
9606,1024,CDK8
9606,1025,CDK9
9606,1026,CDKN1A
9606,1027,CDKN1B
9606,1028,CDKN1C
9606,1029,CDKN2A
9606,1030,CDKN2B
9606,1031,CDKN2C
9606,1032,CDKN2D
9606,1033,CDKN3
9606,1036,CDO1
9606,1038,CDR1
9606,1039,CDR2
9606,1040,CDS1
9606,1041,CDSN
9606,1043,CD52
9606,1044,CDX1
9606,1045,CDX2
9606,1046,CDX4
9606,1047,CLGN
9606,1048,CEACAM5
9606,1050,CEBPA
9606,1051,CEBPB
9606,1052,CEBPD
9606,1053,CEBPE
9606,1054,CEBPG
9606,1055,CECR
9606,1056,CEL
9606,1057,CELP
9606,1058,CENPA
9606,1059,CENPB
9606,1060,CENPC
9606,1061,CENPCP1
9606,1062,CENPE
9606,1063,CENPF
9606,1066,CES1
9606,1068,CETN1
9606,1069,CETN2
9606,1070,CETN3
9606,1071,CETP
9606,1072,CFL1
9606,1073,CFL2
9606,1074,CFL1P5
9606,1075,CTSC
9606,1080,CFTR
9606,1081,CGA
9606,1082,CGB3
9606,1083,CGF1
9606,1084,CEACAM3
9606,1085,CEACAMP5
9606,1086,CEACAMP11
9606,1087,CEACAM7
9606,1088,CEACAM8
9606,1089,CEACAM4
9606,1090,CEACAMP1
9606,1091,CEACAMP2
9606,1092,CEACAMP3
9606,1093,CEACAMP4
9606,1094,CEACAMP6
9606,1095,CEACAMP7
9606,1096,CEACAMP8
9606,1097,CEACAMP9
9606,1098,CEACAMP10
9606,1101,CHAD
9606,1102,RCBTB2
9606,1103,CHAT
9606,1104,RCC1
9606,1105,CHD1
9606,1106,CHD2
9606,1107,CHD3
9606,1108,CHD4
9606,1109,AKR1C4
9606,1111,CHEK1
9606,1112,FOXN3
9606,1113,CHGA
9606,1114,CHGB
9606,1116,CHI3L1
9606,1117,CHI3L2
9606,1118,CHIT1
9606,1119,CHKA
9606,1120,CHKB
9606,1121,CHM
9606,1122,CHML
9606,1123,CHN1
9606,1124,CHN2
9606,1128,CHRM1
9606,1129,CHRM2
9606,1130,LYST
9606,1131,CHRM3
9606,1132,CHRM4
9606,1133,CHRM5
9606,1134,CHRNA1
9606,1135,CHRNA2
9606,1136,CHRNA3
9606,1137,CHRNA4
9606,1138,CHRNA5
9606,1139,CHRNA7
9606,1140,CHRNB1
9606,1141,CHRNB2
9606,1142,CHRNB3
9606,1143,CHRNB4
9606,1144,CHRND
9606,1145,CHRNE
9606,1146,CHRNG
9606,1147,CHUK
9606,1149,CIDEA
9606,1152,CKB
9606,1153,CIRBP
9606,1154,CISH
9606,1155,TBCB
9606,1156,CKBE
9606,1157,CKBP1
9606,1158,CKM
9606,1159,CKMT1B
9606,1160,CKMT2
9606,1161,ERCC8
9606,1163,CKS1B
9606,1164,CKS2
9606,1167,CLA3
9606,1173,AP2M1
9606,1174,AP1S1
9606,1175,AP2S1
9606,1176,AP3S1
9606,1178,CLC
9606,1179,CLCA1
9606,1180,CLCN1
9606,1181,CLCN2
9606,1182,CLCN3
9606,1183,CLCN4
9606,1184,CLCN5
9606,1185,CLCN6
9606,1186,CLCN7
9606,1187,CLCNKA
9606,1188,CLCNKB
9606,1191,CLU
9606,1192,CLIC1
9606,1193,CLIC2
9606,1195,CLK1
9606,1196,CLK2
9606,1197,CLK2P1
9606,1198,CLK3
9606,1200,TPP1
9606,1201,CLN3
9606,1203,CLN5
9606,1204,CLNS1AP1
9606,1207,CLNS1A
9606,1208,CLPS
9606,1209,CLPTM1
9606,1211,CLTA
9606,1212,CLTB
9606,1213,CLTC
9606,1215,CMA1
9606,1218,CMD1B
9606,1230,CCR1
9606,1232,CCR3
9606,1233,CCR4
9606,1234,CCR5
9606,1235,CCR6
9606,1236,CCR7
9606,1237,CCR8
9606,1238,ACKR2
9606,1240,CMKLR1
9606,1241,LTB4R
9606,1243,CMM
9606,1244,ABCC2
9606,1253,CMTX2
9606,1254,CMTX3
9606,1255,CNA1
9606,1257,CNC2
9606,1258,CNGB1
9606,1259,CNGA1
9606,1260,CNGA2
9606,1261,CNGA3
9606,1262,CNGA4
9606,1263,PLK3
9606,1264,CNN1
9606,1265,CNN2
9606,1266,CNN3
9606,1267,CNP
9606,1268,CNR1
9606,1269,CNR2
9606,1270,CNTF
9606,1271,CNTFR
9606,1272,CNTN1
9606,1275,COD2
9606,1277,COL1A1
9606,1278,COL1A2
9606,1279,COL1AR
9606,1280,COL2A1
9606,1281,COL3A1
9606,1282,COL4A1
9606,1283,CTD
9606,1284,COL4A2
9606,1285,COL4A3
9606,1286,COL4A4
9606,1287,COL4A5
9606,1288,COL4A6
9606,1289,COL5A1
9606,1290,COL5A2
9606,1291,COL6A1
